System_ID,Vehicle_ID,System_Type,Comment
S001,3001,Suspension,"TORQUE RELAXATION OF TRACK ROD AND RETAINING NUT CAN CAUSE KNOCK OR VIBRATION FROM THE SUSPENSION AND STEERING.
CORRECTION: NEW NUTS WERE FITTED ON AFFECTED VEHICLES PRIOR TO RETAIL SALE."
S002,3002,Brakes,"On certain vehicles, the Anti-lock Brake System / Vehicle Dynamic Control (ABS/VDC) actuator was assembled with more than one ball bearing in the valve.  This could cause fluid flow to be blocked, resulting in a reduction in brake force in one or both front wheels.   This could increase the vehicle's stopping distance and cause a crash with injury or death.  Correction: Dealers will replace the ABS/VDC actuator.  Note: All vehicles were captured before retail sale."
S003,3003,Engine,"On certain ATVs, operated in sub-freezing temperatures, for repeated short-run periods of time, excess moisture may collect and freeze in the outlet port of the crankcase ventilation valve assembly.  If this occurs, a restriction of crankcase ventilation to the air box could cause an increase of crankcase pressure leading to valve cover gasket displacement and engine oil leakage.  Should an oil leak at the valve cover occur, oil could contact the exhaust header pipe and create a fire hazard, which could result in property damage, personal injury or death.  Correction: Dealers will install a crankcase breather kit."
S004,3004,Suspension,"On certain ATVs, the front suspension steering knuckles may not have been manufactured to specifications.  Oversized ball joint stem mounting holes and oversized pinch bolt through holes may cause a reduction in the clamp force required to retain the ball joint stems in the steering knuckle.  As a result, the upper or lower control arm assemblies could become disconnected from the steering knuckle.  This could cause a loss of steering control and a crash resulting in property damage, personal injury or death.  Correction: Dealers will affect repairs."
S005,3005,Suspension,"On certain ATVs, the front suspension steering knuckles may not have been manufactured to specifications.  Oversized ball joint stem mounting holes and oversized pinch bolt through holes may cause a reduction in the clamp force required to retain the ball joint stems in the steering knuckle.  As a result, the upper or lower control arm assemblies could become disconnected from the steering knuckle.  This could cause a loss of steering control and a crash resulting in property damage, personal injury or death.  Correction: Dealers will affect repairs."
S006,3006,Suspension,"On certain ATVs, the front suspension steering knuckles may not have been manufactured to specifications.  Oversized ball joint stem mounting holes and oversized pinch bolt through holes may cause a reduction in the clamp force required to retain the ball joint stems in the steering knuckle.  As a result, the upper or lower control arm assemblies could become disconnected from the steering knuckle.  This could cause a loss of steering control and a crash resulting in property damage, personal injury or death.  Correction: Dealers will affect repairs."
S007,3007,Suspension,"On certain ATVs, the front suspension steering knuckles may not have been manufactured to specifications.  Oversized ball joint stem mounting holes and oversized pinch bolt through holes may cause a reduction in the clamp force required to retain the ball joint stems in the steering knuckle.  As a result, the upper or lower control arm assemblies could become disconnected from the steering knuckle.  This could cause a loss of steering control and a crash resulting in property damage, personal injury or death.  Correction: Dealers will affect repairs."
S008,3008,Suspension,"On certain ATVs, the front suspension steering knuckles may not have been manufactured to specifications.  Oversized ball joint stem mounting holes and oversized pinch bolt through holes may cause a reduction in the clamp force required to retain the ball joint stems in the steering knuckle.  As a result, the upper or lower control arm assemblies could become disconnected from the steering knuckle.  This could cause a loss of steering control and a crash resulting in property damage, personal injury or death.  Correction: Dealers will affect repairs."
S009,3009,Other,"On certain motorcycles, the side stand may have been installed incorrectly during the vehicle assembly process.  As a result, the side stand attachment bolts could loosen.  This could cause the motorcycle to fall over (while resting on the stand), which could result in property damage and/or personal injury.  Correction: Dealers will remove the side stand mounting plate, clean the components, and reinstall using new fasteners."
S010,3010,Other,"On certain motorcycles, the side stand may have been installed incorrectly during the vehicle assembly process.  As a result, the side stand attachment bolts could loosen.  This could cause the motorcycle to fall over (while resting on the stand), which could result in property damage and/or personal injury.  Correction: Dealers will remove the side stand mounting plate, clean the components, and reinstall using new fasteners."
