Vehicle_ID,Recall_Number,Category,Make_Name,Model_Name
3001,1995081,Car,JAGUAR,XJ
3002,2007371,SUV,NISSAN,XTERRA
3003,2009206,A.T.V.,POLARIS,SPORTSMAN XP 850
3004,2009315,A.T.V.,POLARIS,SPORTSMAN XP 550
3005,2009315,A.T.V.,POLARIS,SPORTSMAN XP 850
3006,2009315,A.T.V.,POLARIS,SPORTSMAN X2 550
3007,2009315,A.T.V.,POLARIS,SPORTSMAN 550
3008,2009315,A.T.V.,POLARIS,SPORTSMAN XP 850
3009,2012428,Motorcycle,BMW,S1000RR
3010,2012428,Motorcycle,BMW,S1000RR
3011,2016562,SUV,KIA,SPORTAGE
3012,2016562,SUV,KIA,SPORTAGE
3013,2017085,School Bus,BLUE BIRD,VISION SCHOOL BUS
3014,2017085,School Bus,BLUE BIRD,VISION SCHOOL BUS
3015,2017086,Bus,BLUE BIRD,VISION NON-SCHOOL BUS
3016,2017086,Bus,BLUE BIRD,VISION NON-SCHOOL BUS
3017,2017103,RV Trailer,JAYCO,SEISMIC FIFTH WHEEL TRAILER
3018,2017138,A.T.V.,POLARIS,SPORTSMAN XP 850
3019,2017138,A.T.V.,POLARIS,SPORTSMAN XP 1000
3020,2017138,A.T.V.,POLARIS,SPORTSMAN XP 850
3021,2017138,A.T.V.,POLARIS,SPORTSMAN XP 1000
3022,2017327,Car,HONDA,ACCORD
3023,2017327,Car,HONDA,ACCORD
3024,2017327,Car,HONDA,ACCORD
3025,2017327,Car,HONDA,ACCORD
3026,2018024,Light Truck & Van,FORD,RANGER
3027,2018715,RV Trailer,KEYSTONE,RAPTOR
3028,2018715,RV Trailer,KEYSTONE,RAPTOR
3029,2019073,RV Trailer,KEYSTONE,BULLET
3030,2019108,RV Trailer,KEYSTONE,MONTANA
3031,2019108,RV Trailer,KEYSTONE,AVALANCHE
3032,2019108,RV Trailer,KEYSTONE,ALPINE
3033,2019108,RV Trailer,KEYSTONE,MONTANA
3034,2019108,RV Trailer,KEYSTONE,AVALANCHE
3035,2019108,RV Trailer,KEYSTONE,MONTANA HIGH COUNTRY
3036,2019154,RV Trailer,DUTCHMEN,COLEMAN
3037,2019154,RV Trailer,DUTCHMEN,APREN TRAIL
3038,2019217,Car,SUZUKI,KIZASHI
3039,2019217,Car,SUZUKI,KIZASHI
3040,2019217,Car,SUZUKI,KIZASHI
3041,2019217,Car,SUZUKI,KIZASHI
3042,2019336,Truck - Med. & H.D.,FREIGHTLINER,BUSINESS CLASS M2
3043,2019336,Truck - Med. & H.D.,FREIGHTLINER,114SD
3044,2019336,Truck - Med. & H.D.,WESTERN STAR,4700
3045,2019336,Truck - Med. & H.D.,FREIGHTLINER,108SD
3046,2019336,Truck - Med. & H.D.,FREIGHTLINER,122SD
3047,2019336,Truck - Med. & H.D.,FREIGHTLINER,BUSINESS CLASS M2
3048,2019336,Truck - Med. & H.D.,FREIGHTLINER,122SD
3049,2019336,Truck - Med. & H.D.,FREIGHTLINER,108SD
3050,2019336,Truck - Med. & H.D.,WESTERN STAR,4700
3051,2019336,Truck - Med. & H.D.,FREIGHTLINER,114SD
3052,2019336,Truck - Med. & H.D.,FREIGHTLINER,BUSINESS CLASS M2
3053,2019336,Truck - Med. & H.D.,FREIGHTLINER,122SD
3054,2019336,Truck - Med. & H.D.,FREIGHTLINER,108SD
3055,2019336,Truck - Med. & H.D.,WESTERN STAR,4700
3056,2019336,Truck - Med. & H.D.,FREIGHTLINER,114SD
3057,2019336,Truck - Med. & H.D.,FREIGHTLINER,108SD
3058,2019336,Truck - Med. & H.D.,FREIGHTLINER,BUSINESS CLASS M2
3059,2019336,Truck - Med. & H.D.,FREIGHTLINER,122SD
3060,2019336,Truck - Med. & H.D.,FREIGHTLINER,114SD
3061,2019336,Truck - Med. & H.D.,WESTERN STAR,4700
3062,2019336,Truck - Med. & H.D.,FREIGHTLINER,108SD
3063,2019336,Truck - Med. & H.D.,FREIGHTLINER,114SD
3064,2019336,Truck - Med. & H.D.,WESTERN STAR,4700
3065,2019336,Truck - Med. & H.D.,FREIGHTLINER,122SD
3066,2019336,Truck - Med. & H.D.,FREIGHTLINER,BUSINESS CLASS M2
3067,2019336,Truck - Med. & H.D.,FREIGHTLINER,114SD
