"Recall_Number","Make_Name","Model_Name"
2007371,"NISSAN","XTERRA"
2016562,"KIA","SPORTAGE"
2019469,"VOLKSWAGEN","JETTA WAGON"
2020064,"KIA","SEDONA"
2020064,"KIA","SORENTO"
2020064,"KIA","SORENTO"
2020064,"KIA","SEDONA"
2020233,"HYUNDAI","VERACRUZ"
2020233,"HYUNDAI","SANTA FE"
2020437,"BMW","HP2 SPORT"
2020437,"BMW","K1200S"
2020437,"BMW","R1200GS"
2020437,"BMW","K1200GT"
2020437,"BMW","R1200RT"
2020437,"BMW","K1200R"
2020437,"BMW","HP2 MEGAMOTO"
2020437,"BMW","R1200GS ADVENTURE"
2020549,"HYUNDAI","VERACRUZ"
2020551,"KENWORTH","T800"
2020551,"KENWORTH","T800"
